Name,TeFo,Te,Req(Te),Fo,Req(Fo),Lvl,R,D,T,Special,Description,Design,Comment,Ref
Restoration of the Defiled Body,CrCo25,Cr,,Co,,25,Touch,Mom,Ind,Ritual,"Removes the crippling or malignant aftereffects of any injury, poison, or disease, or of premature aging. The effects of natural aging cannot be undone by this or any spell. This spell does not heal wounds, only extra effects.","Base 20, +1 Touch",,[ArM5:129]
Wound without Cause,PeCo20,Pe,,Co,,20,Touch,Mom,Ind,,The target takes a heavy wound,"Base 15, touch +1",,Custom
Spasms of the Uncontrolled Body,ReCo5,Re,,Co,,5,Touch,Sun,Ind,,"One of the target’s hands spasms, causing him to drop anything he is holding in it. It keeps spasming for as long as you concentrate.","Base 2, +1 Touch, +2 Sun",,Custom [ArM:134]
Leap of Homecoming,ReCo35,Re,,Co,,35,Per,Mom,Ind,,"Transports you to any place to which you have an Arcane Connection. Most magi use this to return to their laboratories.","Base 35",,[ArM5:135]
Leap of Homecoming (touch),ReCo40,Re,,Co,,40,Touch,Mom,Ind,,"Transports the target to any place to which you have an Arcane Connection.","Base 35 +1 Touch",,Custom
Gift of the Frog's Legs,ReCo15,Re,,Co,,15,Touch,Mom,Ind,,"Allows the target to leap up to 15 feet vertically or 25 feet horizontally (2 feet less for every Encumbrance point). The person must make a Dexterity – Encumbrance stress roll of 0+ to land without injury. A miss indicates that he takes a Light Wound, and a botch indicates a Medium Wound. The target can only leap once for each casting of the spell, and that leap must be made within ten seconds. As with a frog’s leap, a running start does not improve the leap.","Base 10, +1 Touch",,[ArM5:134]
Improved Purification of the Festering Wounds,CrCo25,Cr,,Co,,25,Touch,Moon,Ind,,"The target gains a +12 bonus to Recovery rolls to recover from injuries or diseases, as long as he has been under the influence of this spell for the whole of the recovery interval. The recovery interval is counted from the time that the spell is cast; any previous time is ignored.","Base 5, +1 Touch, +3 Moon",,Custom variant [ArM5:129]
Gift of Quickness (personal range),CrCo30,Cr,,Co,,30,Per,Mom,Ind,Ritual,"Increases the caster's Quickness by one point up to a maximum of 0.","Base 30",,Custom variant
Converse with Plant and Tree,InHe25,In,,He,,25,Touch,Conc,Ind,,"You can speak with a plant for one conversation. The level of conversation depends on the type of plants; longer-lived and more noble plants have more to say. A single question and response takes ten to thirty minutes, with slower-growing plants speaking more slowly. Typically, plants can talk about the soil and about other plants around them, but have limited awareness of more momentary events, such as the passing of animals or people, unless that passing has a direct bearing on the plant (for example, a person cut its trunk). News can spread quickly through a forest when it has to, called from tree to tree on the wind. Bystanders cannot understand your conversation.","Base 15, +1 Touch, +1 Concentration",,[ArM5:136]
Lamp till Morning without Flame,CrIg15,Cr,,Ig,,15,Touch,Sun,Ind,,"This spell creates a steady light as bright as daylight on a cloudy day. The light has no apparent source, but illuminates an area about ten paces across, centered on a point indicated by the caster. This point may be a mobile item.","Base 4, +1 Touch, +2 Sun",,Custom Variant [ArM:140]
Arrow of Fiery Ribbons,CrIg30,Cr,,Ig,,30,Touch,Mom,Group,,,"Base 5, +1 Touch, +2 Group","Exact effect has to be negotiated when it is first used in play.",Variant of Arc of the Fiery Ribbons [ArM5:140]
